I.D.,address,flock_size,no_of_shed,age_days,mortality_pattern,total_mortality,farm_type,origin_of_chicks,origin_of_feed,vaccination_history,previous_outbreak_of_AI,water_source,flooring,age_of_farms,distance_from_main_road,apron,boot,vehicles ,water_bath,visitors,self_senitization,animal_and_birds,rodents,litter_dispose,dead_bird_disposal,nearby_farm_distance,nearby_farm_type,fencing,culling_during_sick,fumigation_of_farm,batch_interval,daignosis,sub_type,aiv_status
T31,Goldhunga,4000,2,29,"12,30,80,300,400",3200,CB,Valley,Valley,1,2,4,2,1 Month,0.7 km,2,2,1,2,2,1,1,2,1,1,0.1 km,1,1,1,2,1 Month,PM and Kit,H9,case
T32,"Thankot, Dhakatol",6000,7,112,"35,300,700",1035,CL,Loman,Adhunik,1,2,1,1,5 Years,0.2 km,1,1,1,1,1,1,2,1,3,1,0.01 km,2,1,1,2,3 Months,PM and Kit,H9,case
T33,Thankot,,2,,2/day,,CL,Chitwan,Ganesh (Mash),1,2,1,2,2 Years,0.5 km,1,1,2,2,1,1,1,1,1,1,0.3 km,2,1,1,2,,PM and Kit,H9,case
T34,Thankot,2040,2,34,"150,150,70,70,80,70,60,50,4",1200,CB,DG poultry,New Hope,1,2,1,2,3.5 Years,0.004 km,1,1,2,1,2,1,2,2,3,2,1 km,2,1,2,1,60 Days,PM and Kit,H9,case
T35,"Duakot, Bhaktapur",6000,2,20,150/day,350,,Buddha Poultry,New Hope,1,2,3,2,8 Months,1 km,2,1,1,2,2,1,1,1,3,1,0.2 km,,1,1,1,1 Month,PM and Kit,H9,case
T36,"Ramkot, Dadapauwa",3000,2,31,"100,80,85",450,,Daunne,Panchakanya,1,2,1,2,3 Years,3 km,1,1,2,,2,1,1,2,1,1,0.1 km,,1,2,1,75 Days,PM and Kit,H9,case
T37,Chapagaun,7400,6,35,"12,14,26,54,150,100",600,Parent,Cobb Nepal,Kantipur,1,2,1,1,10 Years,0.4 km,2,1,1,1,2,1,2,1,3,1,1 km,1,1,1,1,2 Months,PM and Kit,H9,case
T38,Tokha,3000,1,41,"120,100,100,120,90,90,70",2200,CB,,Nepal Pelete Feed,1,2,4,2,2 Years,0.3 km,2,1,1,2,1,2,2,1,3,2,0.4 km,4,2,1,2,20 Days,PM and Kit,H9,case
T39,Ramkot,2000,,28,"50,50,50,10",,,Panchakanya,Panchakanya,1,2,1,2,10 Years,0.03 km,2,2,2,2,2,2,2,1,1,1,0.05 km,,1,2,1,25 Days,PM and Kit,H9,case
T40,Tokha-1,500,1,60,"3,4",,,Sundhara,Siddhartha,1,2,4,2,3 Years,0.7 km,1,2,2,2,2,2,2,1,3,1,0.4 km,,2,1,1,3 Months,PM and Kit,H9,case
T41,"Sangle, Tarakeshwor",200,1,31,"3,6,7",,CB,Valley,Siddhartha,1,1,2,2,1 Month,0.1 km,2,1,2,2,1,1,2,2,3,1,0.5 km,4,2,1,2,1 Month,PM and Kit,H9,case
T42,"Tokha, Tarkeshwor",1000,1,115,"10,10,12,13,15,15,15",250,CL,Avinash,Sagarmatha,1,2,3,1,3 Months,0.05 km,1,1,1,2,2,1,2,2,3,1,0.01 km,2,2,1,1,3 Months,PM and Kit,H9,case
T43,"Kapan, Chunikhel",1767,1,29,"20,15,60,50,50,30",450,CB,Annapurna,New Hope,1,2,3,2,<1 Year,1 km,2,1,2,1,2,1,1,1,3,1,0.025 km,1,1,1,1,4 Months,PM and Kit,H9,case
T44,"Sanglekhola, Kathmandu",3200,2,126,25/day,2000,CL,Aadhunik,Aadhunik,1,2,3,1,4 Years,1 km,2,1,2,1,1,1,2,2,2,1,0.3 km,2,1,1,1,,PM and Kit,H9,case
T45,"Nayapati, Sundarijal",2000,1,44,"40,40,50,45,35,35,35,36",700,CB,Kathmandu,Poshak,1,2,1,2,3 Years,0.3 km,1,1,2,1,2,1,1,2,4,2,1 km,4,2,1,1,10 Days,PM and Kit,H9,case
T46,Tarakeshwor-7,15000,3,224,"5,10,30,40,75,125,250,400",1300,CL,Avinash,Self prepared,1,1,2,1,1 Year,0.5 km,1,1,1,2,2,1,1,1,3,1,0.2 km,2,1,1,1,4 Months,PM and Kit,H9,case
T47,"Sangle, Tarakeshwor",1200,1,105,"150,120,70,9,5,2,12",600,CL,Aadhunik,Aadhunik,1,2,3,1,6 Months,3 km,1,1,2,1,2,1,2,1,1,1,0.007 km,2,1,1,1,6 Months,PM and Kit,H9,case
T48,Farping-9,500,1,36,"40,35,40,50,100",400,Cross,Sanepa,Nimbus,1,2,2,2,1 Year,8 km,1,1,2,2,2,2,1,2,2,1,0.15 km,5,1,1,1,2 Months,PM and Kit,H9,case
T49,"Sangle-1, Tarakeshwor",1050,1,105,,1045,CL,Aadhunik,Mash ,1,1,3,2,4 Months,0.1 km,1,1,2,1,1,1,1,1,2,1,0.05 km,1,1,1,2,4 Months,PM and Kit,H9,case
T50,"Tokha, Kathmandu",1000,1,47,"10,20,30,65,66",200,CL,Srinagar,Sunaulo,1,2,3,2,8 Years,0.5 km,2,1,1,2,2,1,1,1,3,2,0.1 km,4,1,2,2,6 Months,PM and Kit,H9,case
C1,Bhaktapur,1900,1,39,,270,1,Birjung,Shakti,1,2,1,2,40 Days,0.2,1,1,1,2,2,1,1,1,1,1,0.1,1,2,2,2,15-20 days,,negative,control
C2,Kathmandu,1000,3,23,,230,1,Nilkanth,Nepal,1,2,2,2,3 Years,0.5,1,1,1,2,1,1,1,1,1,2,105,2,2,1,2,15-20 days,,negative,control
